"","Animal","Estimator","Area","Period.1","Period.2","Period.3","Period.4","Period.5","Period.6","Period.7","Period.8","Period.9","Period.10","Period.11","Period.12","Period.13","Period.14","Period.15","Period.16","Period.17","Period.18","Period.19","Period.20","Period.21","Period.22","Period.23","Period.24","Period.25","Period.26","Year"
"139",45501,"BBMM","plan",3.65531537803355,6.93828494210204,16.8785856436896,7.18511260488987,15.6884316328081,7.58223520346837,3.0229691953199,4.32596911893721,4.85125496204243,1.17697052943108,4.30492592379315,3.1782118158025,7.26104952329085,5.19539495483808,8.8244449895703,6.36822178509393,3.65911846581288,5.80983748254088,8.85695166463053,9.10772454353268,11.8501484213051,5.91576487021138,2.23018689218274,4.55575961631754,21.5498558446411,23.5104280146827,2021
"140",45501,"BBMM","surf",4.12154432194195,7.86175893086446,19.0618439513015,8.13813334842956,17.572764940781,8.52557525004374,3.41219084795469,4.84091381829424,5.55493455703079,1.2875326528048,4.64130587970724,3.45737536041163,7.90467414873176,5.71458743130231,9.97017838134584,7.07402651170244,4.15400261509861,6.54406736387058,10.0236124939113,10.3472185321911,13.3332829240452,6.61564574395239,2.46173203826423,5.06407439599377,24.3967244881408,26.572070814749,2021
"141",45502,"AKDE","plan",11.1944708401825,2.46300263648913,33.9863817830131,3.42658919535647,7.63740284497483,31.0847891904486,2.0717844209993,32.9136868395754,21.2989854300348,7.06826168039631,19.6157921883768,17.5495007929578,NA,NA,NA,5.39328709457422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"142",45502,"AKDE","surf",12.7084342476208,2.78090673750334,38.2832693266412,3.81086832890739,8.54666875750956,34.9199922867449,2.33744091924605,37.0614131184627,23.9210712069601,7.93770421499137,22.0187585082382,19.7253217644386,NA,NA,NA,6.01328253725212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"143",45502,"BBMM","plan",0.991264238017979,1.56291429100516,8.68862736035057,3.05104574203484,6.75683684552626,9.73198470524936,2.0760959842274,11.6276006975767,3.42188423270266,2.10288297652687,8.11035611468734,5.95414786390299,NA,NA,NA,4.68255174679775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"144",45502,"BBMM","surf",1.14851057160409,1.77885636790092,9.74415638030726,3.39885045740969,7.57546319243823,10.928073939329,2.34500215818317,13.0706355775269,3.86830010102153,2.39765732973974,9.09428204145474,6.6950925987975,NA,NA,NA,5.23082545198338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"145",45503,"AKDE","plan",86.7172978696203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"146",45503,"AKDE","surf",0.934659142520358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"147",45503,"BBMM","plan",0.483978128845437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
"148",45503,"BBMM","surf",0.518649888099863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021
